DATE,ETHA,FETH,ETHW,CETH,ETHV,QETH,EZET,ETHE,ETH,TOTAL
23-Jul-24,266.5,71.3,204,7.5,7.6,5.5,13.2,-484.1,15.1,106.6
24-Jul-24,17.4,74.5,29.6,0,19.8,2.5,3.9,-326.9,45.9,-133.3
25-Jul-24,70.9,34.3,16.3,0,8,6.2,0,-346.2,58.1,-152.4
26-Jul-24,87.2,39.3,16,0,0,0,6.2,-356.3,44.9,-162.7
29-Jul-24,58.2,24.8,10.4,0,10.9,0,2.5,-210,4.9,-98.3
30-Jul-24,118,16.4,3.5,0,0,0,3.7,-120.3,12.4,33.7
31-Jul-24,5,18.8,4.7,3.3,4.8,0,0,-133.3,19.5,-77.2
1-Aug-24,89.6,11.7,3.4,0,0,0,0,-78,0,26.7
2-Aug-24,0,6,0,0,0,0,1.1,-61.4,0,-54.3
5-Aug-24,47.1,16.2,7.2,0,16.6,0,0.9,-46.8,7.6,48.8
6-Aug-24,109.9,22.5,0,0,0,0,1,-39.7,4.7,98.4
7-Aug-24,0,4.7,1.7,0,0,0,1.8,-31.9,0,-23.7
8-Aug-24,11.7,-2.6,2.8,0,0,0,0,-19.8,5,-2.9
9-Aug-24,19.6,3.9,0,0,0,0,0,-41.7,2.4,-15.8
12-Aug-24,0,4,2.9,0,-2.9,0,1,0,0,5
13-Aug-24,49.1,5.4,0,0,0,0.8,0,-31,0,24.3
14-Aug-24,16.1,6.6,2.7,0,0,0,0,-16.9,2.3,10.8
15-Aug-24,0.8,2.5,0,0,0,0,0,-42.5,0,-39.2
16-Aug-24,10.3,7.2,0,0,-4.8,0,0,-27.7,0,-15
19-Aug-24,0,0,1.9,0,0,0,0,-20.3,4.9,-13.5
20-Aug-24,26.8,0,3.7,0,0,0,0,-37,0,-6.5
21-Aug-24,0,7.9,0,0,0,0,1,-31.1,4.2,-18
22-Aug-24,0,14.3,0,0,1,0,0,-19.8,3.7,-0.8
23-Aug-24,0,0.7,1.4,0,2,0,0,-9.8,0,-5.7
26-Aug-24,0,-2.7,0,0,0,0,-1,-9.5,0,-13.2
27-Aug-24,0,3.9,1.9,0,0,0,0,-9.2,0,-3.4
28-Aug-24,8.4,1.3,0,0,0,0,0,-3.8,0,5.9
29-Aug-24,0,0,0,0,0,0,0,-5.3,3.6,-1.7
30-Aug-24,0,0,0,0,0,0,0,0,0,0
2-Sep-24,-,-,-,-,-,-,-,-,-,0
3-Sep-24,0,4.9,0,0,0,0,0,-52.3,0,-47.4
4-Sep-24,0,0,0,0,0,0,0,-40.6,3.1,-37.5
5-Sep-24,0,0,0,0,0,0,0,-7.4,7.2,-0.2
6-Sep-24,4.7,0,0,0,0,0,0,-10.7,0,-6
9-Sep-24,0,7.6,1.8,0,0,0,0,-22.6,8,-5.2
10-Sep-24,4.3,7.1,0,0,0,0,0,0,0,11.4
11-Sep-24,0,1.2,0,0,-1.7,0,0,0,0,-0.5
12-Sep-24,0,0,0,0,0,0,0,-20.1,0,-20.1
13-Sep-24,3.7,0,5.2,0,0,0,0,-7.4,0,1.5
